model,yil,km,renk,fiyat,il
Volkswagen Passat 2.0 Comfortline,2005,219.000 ,Gri,149.900 TL,Ankara
Volkswagen Passat 1.6 Comfortline,2006,169.000 ,Siyah,156.000 TL,Ankara
Volkswagen Golf 1.6 Pacific,2004,246.000 ,Gri,79.900 TL,Sakarya
BMW 5 Serisi 520d Standart,2009,155.000 ,Siyah,177.500 TL,Sakarya
Fiat Egea 1.3 Multijet Easy Plus,2020,0 ,Beyaz,176.500 TL,Zonguldak
Hyundai i20 1.4 CRDi Style,2015,52.000 ,Füme,153.500 TL,Zonguldak
Renault Clio 1.5 dCi Icon,2012,147.000 ,Kırmızı,118.900 TL,Konya
Fiat Egea 1.6 E-Torq Urban Plus,2019,2.000 ,Beyaz,186.900 TL,Konya
Mercedes - Benz E 250 AMG,2014,62.000 ,Beyaz,495.000 TL,Trabzon
Renault Clio 1.5 BlueDCI Joy,2019,29.000 ,Beyaz,153.500 TL,Trabzon
Skoda Octavia 1.6 TDI Style CR,2016,90.000 ,Mavi,238.500 TL,Trabzon
Alfa Romeo Giulietta 1.6 JTD Progression,2020,0 ,Beyaz,305.000 TL,Trabzon
Volkswagen Passat 1.6 TDi BlueMotion Trendline,2017,110.000 ,Gri,247.500 TL,İstanbul
Renault Megane 1.5 dCi Touch Plus,2015,134.000 ,Gri,149.800 TL,İstanbul
Hyundai Accent Blue 1.6 CRDI Mode Plus,2017,54.000 ,Beyaz,165.000 TL,Kahramanmaraş
Toyota Auris 1.4 D-4D Comfort Extra,2012,82.000 ,Beyaz,151.000 TL,İstanbul
Ford Fiesta 1.4 TDCi Titanium X,2011,165.000 ,Gri,105.000 TL,İstanbul
Skoda Octavia 1.4 TSI Elegance,2010,235.750 ,Siyah,125.000 TL,Adıyaman
Hyundai Accent Era 1.4 Team,2009,132.000 ,Gri,93.750 TL,Adıyaman
Volkswagen VW CC 1.4 TSi,2012,170.000 ,Beyaz,195.000 TL,Eskişehir
Fiat Egea 1.3 Multijet Easy,2017,127.500 ,Beyaz,124.750 TL,Eskişehir
Peugeot 406 2.0 SV,1998,130.000 ,Beyaz,46.500 TL,Konya
Ford Focus 1.6 Titanium,2011,33.750 ,-,143.500 TL,İzmir
Toyota Corolla 1.4 D-4D Touch,2014,86.000 ,Beyaz,159.950 TL,Mersin
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2015,73.000 ,Gri,"320.000 TL,315.000 TL",Mersin
Porsche Panamera Diesel,2014,260.000 ,Siyah,1.175.000 TL,İstanbul
Audi A6 Sedan 2.0 TDI,2015,189.000 ,Siyah,525.000 TL,İstanbul
Renault Symbol 1.5 dCi Joy,2016,180.000 ,Gri,90.000 TL,Trabzon
Volkswagen Passat 1.4 TSi BlueMotion Comfortline,2017,63.000 ,Siyah,"275.000 TL,255.000 TL",Zonguldak
Hyundai i20 1.2 MPI Style,2015,45.000 ,Beyaz,127.950 TL,Zonguldak
Volkswagen Passat 2.0 Comfortline,2005,219.000 ,Gri,149.900 TL,Ankara
Volkswagen Passat 1.6 Comfortline,2006,169.000 ,Siyah,156.000 TL,Ankara
Volkswagen Golf 1.6 Pacific,2004,246.000 ,Gri,79.900 TL,Sakarya
BMW 5 Serisi 520d Standart,2009,155.000 ,Siyah,177.500 TL,Sakarya
Fiat Egea 1.3 Multijet Easy Plus,2020,0 ,Beyaz,176.500 TL,Zonguldak
Hyundai i20 1.4 CRDi Style,2015,52.000 ,Füme,153.500 TL,Zonguldak
Renault Clio 1.5 dCi Icon,2012,147.000 ,Kırmızı,118.900 TL,Konya
Fiat Egea 1.6 E-Torq Urban Plus,2019,2.000 ,Beyaz,186.900 TL,Konya
Mercedes - Benz E 250 AMG,2014,62.000 ,Beyaz,495.000 TL,Trabzon
Renault Clio 1.5 BlueDCI Joy,2019,29.000 ,Beyaz,153.500 TL,Trabzon
Skoda Octavia 1.6 TDI Style CR,2016,90.000 ,Mavi,238.500 TL,Trabzon
Alfa Romeo Giulietta 1.6 JTD Progression,2020,0 ,Beyaz,305.000 TL,Trabzon
Volkswagen Passat 1.6 TDi BlueMotion Trendline,2017,110.000 ,Gri,247.500 TL,İstanbul
Renault Megane 1.5 dCi Touch Plus,2015,134.000 ,Gri,149.800 TL,İstanbul
Hyundai Accent Blue 1.6 CRDI Mode Plus,2017,54.000 ,Beyaz,165.000 TL,Kahramanmaraş
Toyota Auris 1.4 D-4D Comfort Extra,2012,82.000 ,Beyaz,151.000 TL,İstanbul
Ford Fiesta 1.4 TDCi Titanium X,2011,165.000 ,Gri,105.000 TL,İstanbul
Skoda Octavia 1.4 TSI Elegance,2010,235.750 ,Siyah,125.000 TL,Adıyaman
Hyundai Accent Era 1.4 Team,2009,132.000 ,Gri,93.750 TL,Adıyaman
Volkswagen VW CC 1.4 TSi,2012,170.000 ,Beyaz,195.000 TL,Eskişehir
Fiat Egea 1.3 Multijet Easy,2017,127.500 ,Beyaz,124.750 TL,Eskişehir
Peugeot 406 2.0 SV,1998,130.000 ,Beyaz,46.500 TL,Konya
Mercedes - Benz E 200 Kompressor Avantgarde,1997,329.000 ,Siyah,98.500 TL,Konya
Volkswagen Passat 1.9 TDi,1998,307.000 ,Mavi (metalik),69.500 TL,Bursa
Volkswagen Jetta 1.6 TDi Comfortline,2013,240.000 ,Füme,152.500 TL,Bursa
Renault Fluence 1.5 dCi Privilege,2011,94.000 ,Gri,146.950 TL,İstanbul
Hyundai i20 1.4 CRDi Jump,2013,122.000 ,Beyaz,96.950 TL,İstanbul
Toyota Corolla 1.4 D-4D Advance,2013,135.000 ,Gri,149.950 TL,İstanbul
Audi A6 Sedan 2.0 TDI Quattro,2017,199.000 ,Siyah,689.000 TL,Şanlıurfa
Peugeot 301 1.6 HDi Active,2016,158.000 ,Beyaz,112.000 TL,Şanlıurfa
Volkswagen Passat 1.6 TDi BlueMotion Impression,2017,91.000 ,Beyaz,299.000 TL,Şanlıurfa
Volkswagen Jetta 1.4 TSi BlueMotion Highline,2015,88.000 ,Beyaz,239.750 TL,Niğde
Opel Astra 1.3 CDTI Sport,2013,68.000 ,Beyaz,172.750 TL,Niğde
Audi A4 Sedan 2.0 TDI Dynamic,2017,60.000 ,Siyah,499.750 TL,İstanbul
Nissan Micra 1.2 Street,2015,16.000 ,Gri,138.750 TL,İstanbul
Volkswagen Passat Variant 1.6 TDi BlueMotion Comfortline,2014,159.000 ,Bej,254.500 TL,Ankara
Mercedes - Benz E 250 CDI Premium,2013,225.000 ,Siyah,"474.500 TL,462.000 TL",Ankara
Peugeot 301 1.6 BlueHDI Active,2018,96.000 ,Füme,128.000 TL,Muğla
Fiat Punto 1.4 Easy S&S,2013,71.000 ,Beyaz,117.000 TL,Muğla
Ford Focus 1.6 Ti-VCT Trend X,2013,104.000 ,Kırmızı,135.000 TL,Muğla
Volkswagen Polo 1.4 TDi Trendline,2015,99.400 ,Beyaz,129.000 TL,Muğla
Renault Clio 0.9 TCe Joy,2019,4.800 ,Beyaz,134.750 TL,Manisa
Nissan Micra 1.2 Match,2017,24.000 ,Beyaz,159.000 TL,Manisa
Fiat Punto 1.4 Lounge S&S,2015,54.300 ,Beyaz,116.500 TL,Manisa
Renault Megane 1.6 Dynamique,2004,209.650 ,-,93.000 TL,Konya
Peugeot 301 1.6 HDi Allure,2017,87.000 ,Gri,141.500 TL,İzmir
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2017,55.000 ,Mavi (metalik),379.000 TL,Konya
Honda Jazz 1.4 LS,2007,178.000 ,Siyah,"101.500 TL,99.750 TL",Denizli
Renault Clio 1.0 TCe Touch,2020,15 ,Turuncu,197.500 TL,Amasya
Toyota Corolla 1.4 D-4D Elegant,2012,140.900 ,Gri (Gümüş),139.500 TL,Uşak
Renault Megane 1.6 Joy,2017,34.000 ,Kırmızı,185.000 TL,Uşak
Mercedes - Benz C 180 AMG 9G-Tronic,2017,36.000 ,Siyah,490.000 TL,Giresun
BMW 3 Serisi 320i ED Luxury Line Plus,2015,109.000 ,Siyah,387.500 TL,Bursa
BMW 3 Serisi 320i First Edition Sport Line,2019,16.000 ,Siyah,582.000 TL,Bursa
BMW 5 Serisi 520i Premium,2013,131.000 ,Füme,337.500 TL,Bursa
Ford Fiesta 1.4 Titanium,2011,86.000 ,Siyah,101.750 TL,Bursa
Opel Astra 1.6 Edition,2015,77.000 ,Beyaz,150.000 TL,Samsun
Mercedes - Benz S 320 L,1997,435.000 ,Gri,145.750 TL,Aydın
Renault Megane 1.6 Joy,2014,101.000 ,Beyaz,142.500 TL,Ankara
Seat Ibiza 1.2 TSI Sport Tourer Reference,2012,128.000 ,Beyaz,134.000 TL,Ankara
Toyota Corolla 1.33 Comfort,2011,94.000 ,Siyah,131.900 TL,Balıkesir
Ford Fiesta 1.4 TDCi Comfort,2004,193.000 ,Gri,71.900 TL,Balıkesir
Opel Astra 1.3 CDTI Edition,2013,241.055 ,Gri,118.500 TL,Antalya
Opel Astra 1.6 Enjoy,2008,144.000 ,Siyah,"93.500 TL,91.500 TL",Çanakkale
Opel Insignia 1.4 T Edition Elegance,2013,90.000 ,Siyah,167.000 TL,Çanakkale
Volkswagen Jetta 1.6 TDi Trendline,2012,127.750 ,Siyah,163.500 TL,Osmaniye
Volkswagen Jetta 1.6 TDi Comfortline,2012,152.000 ,Beyaz,168.500 TL,Osmaniye
Renault Fluence 1.5 dCi Business,2011,232.000 ,Gri,"72.900 TL,71.900 TL",Osmaniye
Hyundai Accent Era 1.4 Team,2011,166.000 ,Beyaz,88.500 TL,Muğla
Fiat Linea 1.4 Fire Pop,2017,47.532 ,Gri,112.000 TL,Muğla
Renault Clio 1.2 Authentique,2007,144.000 ,Kahverengi,85.000 TL,Muğla
Chevrolet Lacetti 1.4 SE,2005,228.000 ,Gri,57.500 TL,Muğla
Volkswagen VW CC 1.4 TSi,2013,127.000 ,Beyaz,230.500 TL,Muğla
Volkswagen Polo 1.2 TSi Comfortline,2017,63.000 ,Kırmızı,"167.500 TL,165.500 TL",Muğla
Toyota Auris 1.33 Comfort,2012,114.000 ,Beyaz,125.750 TL,Muğla
Hyundai Accent Blue 1.6 CRDI Biz,2014,149.000 ,Beyaz,137.500 TL,Muğla
Dacia Sandero 1.5 dCi Stepway,2015,90.000 ,Kırmızı,129.500 TL,Muğla
Renault Megane 1.5 Blue DCI Touch,2019,0 ,Beyaz,256.500 TL,Bolu
Volkswagen Passat 1.6 TDi BlueMotion,2020,1.350 ,Siyah,508.000 TL,Bolu
Renault Fluence 1.6 Extreme,2011,260.000 ,Gri,88.500 TL,İstanbul
Renault Clio 1.5 dCi Joy,2013,169.000 ,Siyah,111.900 TL,İstanbul
Renault Fluence 1.5 dCi Business,2012,245.000 ,Gri,75.000 TL,Sakarya
Hyundai Accent Era 1.4 Team,2011,185.000 ,Gri,75.000 TL,Sakarya
Seat Ibiza 1.4 Sport Tourer Copa,2012,238.000 ,Füme,75.000 TL,Sakarya
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2013,138.000 ,Beyaz,"226.500 TL,204.500 TL",Uşak
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2016,173.000 ,Gri,272.000 TL,Şanlıurfa
Volkswagen Jetta 1.6 TDi Highline,2014,148.000 ,Gri,212.000 TL,Şanlıurfa
Renault Clio 1.5 dCi SportTourer Touch,2016,139.400 ,Beyaz,137.000 TL,İzmir
Fiat Linea 1.4 Fire Pop,2017,145.978 ,Beyaz,93.900 TL,Kayseri
Fiat Linea 1.3 Multijet Pop,2013,184.000 ,Gri,85.900 TL,Kayseri
Renault Megane 1.5 dCi Authentique,2011,182.707 ,Gri,98.900 TL,Kayseri
Hyundai i30 1.6 CRDi Elite Plus,2017,64.000 ,Bordo,253.500 TL,İstanbul
BMW 3 Serisi 316i M Sport,2015,94.300 ,Lacivert,338.000 TL,İstanbul
Volkswagen Polo 1.4 TDi Comfortline,2017,113.000 ,Gri,"187.000 TL,184.000 TL",Mersin
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2015,198.000 ,Siyah,237.000 TL,Şanlıurfa
Mercedes - Benz C 200 Elegance,1995,441.000 ,Yeşil,88.000 TL,Bilecik
Volkswagen Polo 1.4 TDi Comfortline,2016,60.000 ,Beyaz,165.950 TL,İstanbul
Volkswagen Jetta 1.6 TDi Comfortline,2011,278.000 ,Füme,113.500 TL,Van
Peugeot 407 1.6 HDi Executive,2007,302.222 ,Siyah,76.000 TL,Yozgat
Ford Fusion 1.4 TDCi Comfort,2011,215.000 ,Gri,84.900 TL,İstanbul
Skoda Octavia 1.6 TDI Elegance CR,2014,194.860 ,Beyaz,179.000 TL,İzmir
Ford Focus 1.6 TDCi Trend,2012,193.000 ,Gri (Gümüş),129.900 TL,Konya
Renault Fluence 1.5 dCi Business,2011,281.000 ,Gri (Gümüş),97.500 TL,Konya
BMW 3 Serisi 320i,2009,162.000 ,Siyah,191.500 TL,Mardin
BMW 5 Serisi 520d Comfort,2010,256.000 ,Siyah,"236.500 TL,216.500 TL",Mardin
Volkswagen Golf 1.4 TSi Trendline,2012,110.000 ,Beyaz,126.500 TL,Mardin
Fiat Linea 1.3 Multijet Actual Plus,2013,210.000 ,Beyaz,76.500 TL,Aydın
Seat Leon 1.6 TDI Style,2015,167.000 ,Beyaz,182.000 TL,İstanbul
Citroen C4 Picasso 1.6 HDi SX PK,2008,216.000 ,Kahverengi,"99.500 TL,95.500 TL",İstanbul
Toyota Corolla 1.4 D-4D Active,2014,98.000 ,Beyaz,167.000 TL,Manisa
Volkswagen Passat Variant 1.6 TDi BlueMotion Comfortline,2015,110.154 ,Beyaz,272.000 TL,İstanbul
Audi A4 Sedan 2.0 TDI Design,2017,110.000 ,Siyah,462.000 TL,İstanbul
Volkswagen Passat 1.6 TDi BlueMotion R Line,2018,68.339 ,Siyah,432.000 TL,İstanbul
Opel Corsa 1.4 Twinport Enjoy,2014,151.270 ,Beyaz,127.000 TL,İstanbul
Volkswagen Jetta 1.6 TDi Comfortline,2015,104.000 ,Siyah,224.000 TL,İstanbul
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2018,57.554 ,Gri,322.000 TL,İstanbul
Renault Symbol 1.2 Joy,2015,55.000 ,Beyaz,102.000 TL,Osmaniye
Mercedes - Benz CLA 200 Urban,2013,163.000 ,Beyaz,269.000 TL,Muğla
Toyota Corolla 1.4 D-4D Touch,2015,119.000 ,Beyaz,157.500 TL,Muğla
Toyota Corolla 1.6 Flame X Pack,2020,0 ,Füme,283.500 TL,İstanbul
Ford Focus 1.6 TDCi Trend X,2014,140.000 ,-,151.750 TL,Gaziantep
Peugeot 407 1.6 HDi Executive Black,2008,311.000 ,Siyah,88.500 TL,Van
BMW 3 Serisi 320i ED 40th Year Edition,2015,59.500 ,Beyaz,426.000 TL,Bursa
Fiat Linea 1.3 Multijet Actual Plus,2013,152.000 ,Beyaz,81.800 TL,Muğla
Fiat Egea 1.3 Multijet Easy,2020,0 ,Beyaz,163.750 TL,Muğla
Volkswagen Jetta 1.6 TDi Highline,2013,141.000 ,Siyah,168.000 TL,İstanbul
Toyota Corolla 1.4 D-4D Comfort Extra,2011,235.000 ,Beyaz,121.750 TL,İstanbul
Renault Symbol 1.5 dCi Joy,2017,75.000 ,Beyaz,113.950 TL,İstanbul
Hyundai Elantra 1.6 MPI Style Plus,2020,0 ,Beyaz,232.000 TL,Bursa
Volkswagen Jetta 1.6 TDi Trendline,2013,187.000 ,Beyaz,164.900 TL,Kahramanmaraş
Dacia Sandero 1.5 dCi Ambiance,2014,97.000 ,Beyaz,103.000 TL,Adıyaman
Fiat Egea 1.3 Multijet Easy,2016,196.000 ,Beyaz,105.000 TL,Van
Ford Focus 1.5 TDCi Trend X,2016,138.100 ,Beyaz,"193.000 TL,191.000 TL",Bursa
Fiat Linea 1.3 Multijet Dynamic,2008,154.000 ,Gri,79.500 TL,Manisa
Fiat Punto 1.3 Multijet Lounge,2013,99.200 ,Bordo,112.500 TL,Bursa
BMW 2 Serisi 218i Luxury Line,2015,49.000 ,Beyaz,334.000 TL,İstanbul
MINI Cooper 1.6 Roadster,2012,84.000 ,Siyah,"227.000 TL,224.000 TL",İstanbul
Opel Astra 1.4 T Sport,2014,80.000 ,Siyah,168.500 TL,İstanbul
Volkswagen Passat 1.8 T Highline,1999,319.000 ,Kırmızı,69.999 TL,Denizli
Renault Clio 1.2 Joy Plus,2019,26.000 ,Füme,133.500 TL,İstanbul
BMW 3 Serisi 320i ED Standart,2013,110.000 ,Beyaz,299.500 TL,İstanbul
Kia Cerato 1.6 CRDi Concept Plus,2017,70.000 ,Beyaz,212.750 TL,İstanbul
Volvo S60 1.6 D Premium,2013,216.000 ,Beyaz,202.000 TL,Konya
Opel Vectra 2.0 GLS,1998,305.000 ,Gri (metalik),45.500 TL,Konya
Lada Samara 1.5,1990,130.000 ,Bordo,22.500 TL,Konya
Mazda 626 2.0 GLX,1998,290.000 ,Yeşil (metalik),52.000 TL,Konya
Mercedes - Benz 200 E,1994,438.000 ,Siyah,70.000 TL,Denizli
Renault Megane 1.5 dCi Dynamique,2004,228.000 ,Yeşil (metalik),70.750 TL,Denizli
Hyundai i20 1.4 CRDi Jump,2016,145.000 ,Beyaz,"119.850 TL,118.000 TL",İstanbul
Ford Fiesta 1.5 TDCi Trend,2013,120.000 ,Beyaz,117.500 TL,Eskişehir
Volkswagen Jetta 1.6 TDi Highline,2014,84.693 ,Siyah,235.000 TL,Eskişehir
Citroen C3 1.6 BlueHDI Feel,2017,80.000 ,Beyaz,155.000 TL,Eskişehir
Renault Symbol 1.5 dCi Authentique,2004,240.000 ,Beyaz,49.500 TL,Antalya
Renault Megane 1.5 dCi Touch,2017,80.000 ,Siyah,210.500 TL,İstanbul
Citroen C3 1.2 PureTech Feel Bold,2020,0 ,Beyaz,207.500 TL,İstanbul
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2018,55.000 ,Beyaz,382.000 TL,İstanbul
Ford Focus 1.6 TDCi Trend,2012,124.500 ,Gri,127.500 TL,Rize
Ford Focus 1.6 TDCi Titanium,2010,150.000 ,Beyaz,137.500 TL,Osmaniye
Mercedes - Benz E 350 CDI Premium,2011,169.000 ,Siyah,459.900 TL,Adana
Audi A4 Sedan 2.0 TDI Design,2016,125.000 ,Beyaz,489.900 TL,Adana
Skoda SuperB 1.6 TDI Premium,2020,0 ,Beyaz,449.900 TL,Adana
Volkswagen Polo 1.2 TDi Trendline,2012,139.000 ,Beyaz,125.750 TL,Denizli
Ford Fusion 1.4 TDCi Trend,2006,294.000 ,Gri (metalik),55.000 TL,Konya
Audi A3 Sportback 1.6 Ambiente,2005,236.000 ,Mavi,97.500 TL,Muğla
Toyota Auris 1.6 Comfort Extra,2012,117.000 ,Siyah,118.500 TL,Ordu
Fiat Egea 1.3 Multijet Easy,2017,122.000 ,Beyaz,122.950 TL,Elazığ
Volkswagen Golf 1.4 TSi Midline,2008,213.000 ,Kırmızı,99.500 TL,Ordu
Mercedes - Benz 190 E 2.0,1989,125.000 ,Gri,67.000 TL,Antalya
Hyundai i20 1.2 MPI Jump,2018,58.000 ,Beyaz,130.000 TL,Antalya
Toyota Corolla 1.33 Life,2016,58.000 ,Beyaz,141.750 TL,Aydın
Toyota Auris 1.4 D-4D Advance Skypack,2013,125.000 ,Beyaz,157.000 TL,Aydın
Fiat Egea 1.3 Multijet Easy,2017,160.000 ,Beyaz,131.900 TL,Adana
Ford Focus 1.6 TDCi Titanium X,2012,227.000 ,Kahverengi,126.750 TL,Adana
Chevrolet Cruze 1.6 LT Plus,2012,299.000 ,Siyah,79.900 TL,Adana
Fiat Egea 1.6 Multijet Urban Plus,2020,2.450 ,Beyaz,221.000 TL,Hatay
Audi A6 Sedan 1.8 T,1999,374.000 ,Mavi,70.000 TL,Sakarya
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2017,61.000 ,Beyaz,397.500 TL,Niğde
Renault Fluence 1.5 dCi Touch Plus,2016,151.580 ,Gri,142.000 TL,İstanbul
Fiat Egea 1.3 Multijet Easy,2020,0 ,Gri,172.000 TL,Samsun
Honda S2000 2.0 Vtec,2006,132.000 ,Kırmızı,420.000 TL,Trabzon
Renault Symbol 1.2 Authentique Edition,2012,242.000 ,Gri (metalik),62.000 TL,Konya
Fiat Linea 1.3 Multijet Pop,2015,139.880 ,Beyaz,100.000 TL,Konya
Toyota Corolla 1.4 D-4D Comfort,2009,233.000 ,Gri (Gümüş),"106.750 TL,1.111 TL",Konya
Skoda Octavia 1.6 Ambiente,2004,223.000 ,Gri (Gümüş),77.000 TL,Konya
Opel Astra 1.6 Enjoy,2005,244.000 ,Gri (Gümüş),"87.999 TL,1.111 TL",Konya
Hyundai Accent Blue 1.4 D-CVVT Mode Plus,2016,36.000 ,Beyaz,144.750 TL,Adıyaman
Honda Civic 1.6 i-VTEC Eco Premium,2012,245.000 ,Beyaz,139.900 TL,Batman
Fiat Linea 1.6 Multijet Active Plus,2012,188.000 ,Beyaz,88.000 TL,İstanbul
Dacia Sandero 1.2 Ambiance,2013,166.000 ,Bordo,91.000 TL,İstanbul
Tofaş Doğan SL,1994,153.000 ,Yeşil,21.500 TL,İstanbul
Toyota Auris 1.4 D-4D Comfort Extra,2011,110.000 ,Gri (Gümüş),151.000 TL,Çankırı
Mercedes - Benz E 200 AMG,2016,70.500 ,Füme,659.750 TL,İstanbul
Hyundai Sonata 2.0 GLS,2005,126.000 ,Lacivert,65.800 TL,Osmaniye
Hyundai Getz 1.5 CRDi VGT Start,2010,179.650 ,Mavi,59.500 TL,Hatay
Renault Symbol 1.5 dCi Joy,2016,93.400 ,Beyaz,114.000 TL,Hatay
Renault Clio 1.4 Alize,2006,173.000 ,Gri,65.500 TL,Edirne
Volkswagen Golf 1.6 TDi BlueMotion,2014,220.000 ,Beyaz,156.000 TL,Konya
Renault Megane 1.5 dCi Touch,2017,49.000 ,Beyaz,217.900 TL,İstanbul
Peugeot 208 1.6 e-HDI Active,2016,47.000 ,Siyah,"159.900 TL,155.900 TL",Bursa
Renault Laguna 2.0 RXT,2001,217.000 ,Yeşil (metalik),52.500 TL,Mardin
Renault Megane 1.5 dCi Authentique,2006,324.000 ,Gri,59.900 TL,Mardin
Hyundai Getz 1.5 VGT HY KLM,2006,249.000 ,Gri,51.000 TL,Hatay
Ford Fiesta 1.4 TDCi Trend,2012,164.300 ,Beyaz,84.750 TL,Hatay
Opel Astra 1.6 Edition,2015,63.000 ,Kahverengi,151.500 TL,Samsun
Fiat Linea 1.3 Multijet Active Plus,2010,281.000 ,Gri,60.750 TL,Mardin
Hyundai i20 1.4 MPI Jump,2016,78.000 ,Beyaz,139.900 TL,İstanbul
Peugeot 301 1.6 HDi Allure,2016,79.500 ,Beyaz,121.000 TL,Antalya
BMW 1 Serisi 116i Comfort,2013,139.000 ,Beyaz,245.000 TL,Amasya
Renault Symbol 1.5 dCi Joy,2017,20.000 ,Beyaz,128.000 TL,Rize
Volkswagen Passat 1.5 TSi Business,2020,13.450 ,Beyaz,351.000 TL,İstanbul
Citroen C-Elysee 1.6 HDi Feel,2017,104.128 ,Beyaz,128.000 TL,Antalya
Renault Clio 1.5 dCi Joy,2016,138.500 ,Siyah,122.500 TL,Antalya
Fiat Egea 1.3 Multijet Easy,2020,0 ,Kırmızı,174.900 TL,Muğla
Honda Civic 1.5 VTEC Turbo Elegance,2020,0 ,Füme,290.750 TL,İstanbul
Renault Megane 1.5 dCi Touch Plus,2016,52.000 ,Gri,"203.750 TL,199.750 TL",İstanbul
Honda Civic 1.5 i-VTEC Sport,2018,7.500 ,Gri,287.500 TL,İstanbul
Toyota Corolla 1.8 Hybrid Dream,2019,14.000 ,Beyaz,244.750 TL,İstanbul
Honda Civic 1.5 VTEC Turbo Elegance,2020,1.500 ,Beyaz,296.750 TL,İstanbul
Volkswagen Golf 1.6 TDi BlueMotion Highline,2018,75.000 ,Beyaz,279.950 TL,Mersin
Mercedes - Benz C 200 d BlueTEC Exclusive,2018,29.000 ,Siyah,600.000 TL,Denizli
Volkswagen Golf 1.6 TDi BlueMotion Comfortline,2014,79.000 ,Beyaz,243.850 TL,Osmaniye
Mercedes - Benz C 200 Kompressor Elegance,2002,264.000 ,Yeşil (metalik),147.500 TL,Aydın
Opel Astra 1.3 CDTI Enjoy Elegance,2008,231.000 ,Siyah,91.500 TL,Aydın
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2015,227.000 ,Gri,"252.000 TL,249.000 TL",Gaziantep
Renault Clio 1.2 Joy,2018,3.000 ,Beyaz,138.000 TL,İzmir
Renault Fluence 1.5 dCi Touch,2016,133.000 ,-,138.900 TL,Gaziantep
Ford Focus 1.6 TDCi Trend X,2015,252.000 ,Beyaz,152.000 TL,Gaziantep
Kia Rio 1.4 CRDi Fancy,2013,124.000 ,Siyah,122.000 TL,Aydın
Ford Fiesta 1.5 TDCi Trend,2015,89.000 ,Beyaz,128.500 TL,Aydın
Hyundai i30 1.6 CRDi Style,2008,210.750 ,Kırmızı,97.750 TL,Malatya
Opel Insignia 1.6 T Cosmo,2009,204.000 ,Siyah,107.500 TL,Eskişehir
